expiry_code,strike,cp,oi,data_date
202608F2,39850,P,0,2026-08-05
202608F1,39850,P,6,2026-08-05
202608F1,39900,C,0,2026-08-05
202608F2,39900,C,0,2026-08-05
202608F2,39900,P,0,2026-08-05
202608F1,39900,P,9,2026-08-05
202608F2,39950,C,0,2026-08-05
202608F1,39950,C,0,2026-08-05
202608F2,39950,P,0,2026-08-05
202608F1,39950,P,10,2026-08-05
202608F1,40000,C,0,2026-08-05
202608F2,40000,C,0,2026-08-05
202608F2,40000,P,8,2026-08-05
202608F1,40000,P,540,2026-08-05
202608F1,40050,C,0,2026-08-05
202608F2,40050,C,0,2026-08-05
202608F2,40050,P,0,2026-08-05
202608F1,40050,P,18,2026-08-05
202608F1,40100,C,0,2026-08-05
202608F2,40100,C,0,2026-08-05
202608F2,40100,P,0,2026-08-05
202608F1,40100,P,7,2026-08-05
202608F2,40150,C,0,2026-08-05
202608F1,40150,C,0,2026-08-05
202608F1,40150,P,9,2026-08-05
202608F2,40150,P,0,2026-08-05
202608F1,40200,C,1,2026-08-05
202608F2,40200,C,0,2026-08-05
202608F2,40200,P,0,2026-08-05
202608F1,40200,P,28,2026-08-05
202608F1,40250,C,0,2026-08-05
202608F2,40250,C,0,2026-08-05
202608F2,40250,P,0,2026-08-05
202608F1,40250,P,45,2026-08-05
202608F2,40300,C,0,2026-08-05
202608F1,40300,C,1,2026-08-05
202608F1,40300,P,47,2026-08-05
202608F2,40300,P,1,2026-08-05
202608F2,40350,C,0,2026-08-05
202608F1,40350,C,0,2026-08-05
202608F1,40350,P,36,2026-08-05
202608F2,40350,P,1,2026-08-05
202608F2,40400,C,0,2026-08-05
202608F1,40400,C,1,2026-08-05
202608F1,40400,P,28,2026-08-05
202608F2,40400,P,0,2026-08-05
202608F2,40450,C,0,2026-08-05
202608F1,40450,C,0,2026-08-05
202608F1,40450,P,29,2026-08-05
202608F2,40450,P,0,2026-08-05
202608F2,40500,C,0,2026-08-05
202608F1,40500,C,2,2026-08-05
202608F1,40500,P,66,2026-08-05
202608F2,40500,P,10,2026-08-05
202608F2,40550,C,0,2026-08-05
202608F1,40550,C,0,2026-08-05
202608F2,40550,P,0,2026-08-05
202608F1,40550,P,9,2026-08-05
202608F1,40600,C,0,2026-08-05
202608F2,40600,C,0,2026-08-05
202608F2,40600,P,0,2026-08-05
202608F1,40600,P,30,2026-08-05
202608F1,40650,C,0,2026-08-05
202608F2,40650,C,0,2026-08-05
202608F2,40650,P,0,2026-08-05
202608F1,40650,P,35,2026-08-05
202608F1,40700,C,0,2026-08-05
202608F2,40700,C,0,2026-08-05
202608F2,40700,P,0,2026-08-05
202608F1,40700,P,92,2026-08-05
202608F1,40750,C,0,2026-08-05
202608F2,40750,C,0,2026-08-05
202608F2,40750,P,0,2026-08-05
202608F1,40750,P,8,2026-08-05
202608F1,40800,C,0,2026-08-05
